lng,lat
-2.16583347320557,43.7194442749023
-2.06666660308838,43.6833343505859
-2.02138876914978,43.6672248840332
-1.96250009536743,43.6463890075684
-1.78333330154419,43.5833320617676
-1.78416669368744,43.4316673278809
-1.78333330154419,43.3833351135254
-1.7402777671814,43.3549995422363
-1.72111117839813,43.3138885498047
-1.61805558204651,43.2908325195312
-1.5797221660614,43.2633323669434
-1.51361107826233,43.2919425964355
-1.4913889169693,43.2838897705078
-1.46666669845581,43.2874984741211
-1.47000002861023,43.0816650390625
-1.33333337306976,43.0499992370605
-1.10805559158325,43.0091667175293
-0.97916662693024,42.9727783203125
-0.84444445371628,42.9319458007812
-0.72777777910233,42.8963890075684
-0.67916667461395,42.8772201538086
-0.65694439411163,42.875
-0.48111110925674,42.823055267334
-0.99777781963348,42.7522239685059
-1.24583339691162,42.4599990844727
-2.1358335018158,41.3819427490234
-2.4219446182251,41.0347213745117
-2.5,41.033332824707
-2.83333325386047,41.033332824707
-2.8486111164093,41.3030548095703
-3.51111102104187,40.9944458007812
-3.64111089706421,40.9330558776855
-3.83527779579163,40.9949989318848
-4.04527759552002,41.0611114501953
-4.5527777671814,41.2216682434082
-4.68694448471069,41.2641677856445
-4.65750026702881,41.3708305358887
-4.43249988555908,42.1363906860352
-4.375,42.3333320617676
-4.93916654586792,42.3513870239258
-5.67749977111816,42.3705520629883
-5.25833320617676,42.9655570983887
-4.94500017166138,43.404167175293
-4.23138904571533,44.3758316040039
-4,44.3330535888672
-3.79250001907349,44.2658348083496
-3.15027785301209,44.0513877868652
-2.84027767181397,43.9486122131348
-2.73861122131348,43.9141693115234
-2.69861125946045,43.9000015258789
-2.51944446563721,43.8388862609863
-2.16583347320557,43.7194442749023
